Date,Open,High,Low,Close,Adj Close,Volume
2019-03-26,12.699999809265137,13.300000190734863,12.600000381469727,13.0,13.0,5000
2019-03-27,12.699999809265137,13.0,12.300000190734863,12.600000381469727,12.600000381469727,3400
2019-03-28,12.800000190734863,12.800000190734863,11.800000190734863,12.300000190734863,12.300000190734863,4430
2019-03-29,12.300000190734863,12.600000381469727,11.800000190734863,11.899999618530273,11.899999618530273,4070
2019-04-01,12.100000381469727,12.199999809265137,11.699999809265137,12.199999809265137,12.199999809265137,2670
2019-04-02,11.5,11.899999618530273,11.199999809265137,11.199999809265137,11.199999809265137,7660
2019-04-03,11.0,11.600000381469727,10.800000190734863,10.800000190734863,10.800000190734863,5020
2019-04-04,10.800000190734863,11.300000190734863,10.800000190734863,11.199999809265137,11.199999809265137,3870
2019-04-05,11.199999809265137,11.5,11.199999809265137,11.399999618530273,11.399999618530273,1390
2019-04-08,11.300000190734863,11.5,10.800000190734863,10.800000190734863,10.800000190734863,3840
2019-04-09,10.899999618530273,11.399999618530273,10.5,11.399999618530273,11.399999618530273,4790
2019-04-10,11.399999618530273,11.699999809265137,11.0,11.300000190734863,11.300000190734863,3830
2019-04-11,11.399999618530273,11.699999809265137,10.899999618530273,11.199999809265137,11.199999809265137,1100
2019-04-12,11.199999809265137,11.199999809265137,10.5,10.600000381469727,10.600000381469727,3050
2019-04-15,10.600000381469727,11.399999618530273,10.5,10.600000381469727,10.600000381469727,2600
2019-04-16,10.699999809265137,11.0,10.100000381469727,10.699999809265137,10.699999809265137,8750
2019-04-17,10.699999809265137,11.0,10.5,10.5,10.5,850
2019-04-18,10.800000190734863,10.800000190734863,10.5,10.800000190734863,10.800000190734863,2810
2019-04-22,10.699999809265137,10.699999809265137,10.5,10.5,10.5,2400
2019-04-23,10.600000381469727,10.800000190734863,10.399999618530273,10.800000190734863,10.800000190734863,1310
2019-04-24,10.699999809265137,10.800000190734863,10.300000190734863,10.300000190734863,10.300000190734863,1460
2019-04-25,10.399999618530273,10.800000190734863,10.300000190734863,10.800000190734863,10.800000190734863,600
2019-04-26,10.600000381469727,10.600000381469727,10.0,10.0,10.0,1990
2019-04-29,10.5,12.199999809265137,10.5,11.899999618530273,11.899999618530273,12130
2019-04-30,12.100000381469727,12.100000381469727,11.5,12.0,12.0,2060
2019-05-01,11.899999618530273,11.899999618530273,11.399999618530273,11.600000381469727,11.600000381469727,1030
2019-05-02,11.5,11.699999809265137,11.199999809265137,11.199999809265137,11.199999809265137,3050
2019-05-03,11.5,11.5,10.699999809265137,11.5,11.5,2640
2019-05-06,11.5,13.5,11.5,13.100000381469727,13.100000381469727,17120
2019-05-07,12.699999809265137,13.0,12.399999618530273,12.5,12.5,2520
2019-05-08,12.600000381469727,12.800000190734863,12.5,12.699999809265137,12.699999809265137,4860
2019-05-09,12.800000190734863,12.800000190734863,12.0,12.100000381469727,12.100000381469727,2020
2019-05-10,12.0,12.399999618530273,11.600000381469727,11.800000190734863,11.800000190734863,1220
2019-05-13,12.5,12.5,11.5,12.100000381469727,12.100000381469727,1560
2019-05-14,12.0,12.100000381469727,11.5,11.600000381469727,11.600000381469727,750
2019-05-15,11.199999809265137,11.699999809265137,11.0,11.199999809265137,11.199999809265137,1540
2019-05-16,11.5,11.5,10.800000190734863,11.5,11.5,1420
2019-05-17,11.300000190734863,11.300000190734863,10.899999618530273,11.0,11.0,1350
2019-05-20,11.300000190734863,11.399999618530273,10.800000190734863,11.399999618530273,11.399999618530273,2020
2019-05-21,11.399999618530273,11.399999618530273,11.100000381469727,11.100000381469727,11.100000381469727,660
2019-05-22,11.100000381469727,11.199999809265137,10.699999809265137,10.699999809265137,10.699999809265137,1470
2019-05-23,10.5,10.699999809265137,10.199999809265137,10.699999809265137,10.699999809265137,790
2019-05-24,10.699999809265137,11.0,10.5,10.899999618530273,10.899999618530273,4720
2019-05-28,11.0,11.5,10.899999618530273,11.5,11.5,980
2019-05-29,11.600000381469727,11.600000381469727,10.300000190734863,11.0,11.0,1010
2019-05-30,10.899999618530273,11.0,10.5,10.899999618530273,10.899999618530273,850
2019-05-31,10.699999809265137,10.899999618530273,10.399999618530273,10.399999618530273,10.399999618530273,1370
2019-06-03,10.100000381469727,11.100000381469727,10.100000381469727,11.100000381469727,11.100000381469727,1820
2019-06-04,11.199999809265137,11.199999809265137,10.5,11.199999809265137,11.199999809265137,860
2019-06-05,11.0,11.0,10.399999618530273,10.399999618530273,10.399999618530273,1090
2019-06-06,10.600000381469727,11.100000381469727,10.399999618530273,11.100000381469727,11.100000381469727,400
2019-06-07,10.899999618530273,10.899999618530273,10.5,10.600000381469727,10.600000381469727,340
2019-06-10,10.5,10.600000381469727,10.0,10.100000381469727,10.100000381469727,3140
2019-06-11,10.399999618530273,10.399999618530273,10.0,10.100000381469727,10.100000381469727,970
2019-06-12,10.5,10.5,10.100000381469727,10.300000190734863,10.300000190734863,1180
2019-06-13,10.399999618530273,10.5,10.300000190734863,10.300000190734863,10.300000190734863,1080
2019-06-14,10.399999618530273,10.699999809265137,10.100000381469727,10.5,10.5,2900
2019-06-17,10.800000190734863,10.800000190734863,10.0,10.0,10.0,930
2019-06-18,10.0,10.5,10.0,10.100000381469727,10.100000381469727,1760
2019-06-19,10.399999618530273,10.800000190734863,10.100000381469727,10.100000381469727,10.100000381469727,880
2019-06-20,10.0,10.600000381469727,10.0,10.0,10.0,2490
2019-06-21,10.300000190734863,10.699999809265137,10.0,10.0,10.0,1280
2019-06-24,10.100000381469727,10.5,10.0,10.0,10.0,790
2019-06-25,10.100000381469727,10.199999809265137,10.0,10.0,10.0,950
2019-06-26,10.0,10.199999809265137,10.0,10.100000381469727,10.100000381469727,2170
2019-06-27,10.100000381469727,10.199999809265137,9.800000190734863,10.199999809265137,10.199999809265137,880
2019-06-28,10.5,11.0,10.100000381469727,10.899999618530273,10.899999618530273,5040
2019-07-01,10.899999618530273,10.899999618530273,10.100000381469727,10.100000381469727,10.100000381469727,1190
2019-07-02,10.300000190734863,10.399999618530273,10.300000190734863,10.300000190734863,10.300000190734863,240
2019-07-03,10.199999809265137,10.5,10.199999809265137,10.399999618530273,10.399999618530273,1050
2019-07-05,10.600000381469727,10.899999618530273,10.199999809265137,10.5,10.5,380
2019-07-08,10.399999618530273,10.399999618530273,10.199999809265137,10.199999809265137,10.199999809265137,1060
2019-07-09,10.300000190734863,10.399999618530273,10.199999809265137,10.399999618530273,10.399999618530273,570
2019-07-10,10.399999618530273,10.800000190734863,10.300000190734863,10.699999809265137,10.699999809265137,1430
2019-07-11,10.800000190734863,10.800000190734863,10.199999809265137,10.199999809265137,10.199999809265137,2230
